domain	name	region	tranco
6abc.com	6abc	US	17600
oklahoman.com	Oklahoman	US	17710
dowjones.com	Dow Jones Newswires	US	17842
spacenews.com	Space News	US	18061
aviationweek.com	Aviation Week	US	18105
nbcdfw.com	NBC DFW	US	18125
scotusblog.com	SCOTUS Blog	US	18296
texasmonthly.com	Texas Monthly	US	18323
lasvegassun.com	Las Vegas Sun	US	18410
wsbtv.com	WSB-TV	US	18434
courier-journal.com	The Courier-Journal	US	18472
nbcphiladelphia.com	NBC10 Philadelphia	US	18484
tucson.com	Arizona Daily Star	US	18567
dailynews.com	Los Angeles Daily News	US	18591
marinecorpstimes.va.newsmemory.com	Marine Corps Times	US	18808
mediamatters.org	Media Matters	US	19021
koreadaily.com	The Korea Daily	US	19049
al-monitor.com	Al-Monitor	US	19107
whyy.org	WHYY	US	19116
calmatters.org	Calmatters	US	19191
laist.com	LAist	US	19210
star-telegram.com	Fort Worth Star-Telegram	US	19246
wgntv.com	WGN	US	19279
talkingpointsmemo.com	TPM	US	19807
niemanlab.org	Nieman Lab	US	20134
pressdemocrat.com	The Press Democrat	US	20252
kxan.com	KXAN	US	20369
khou.com	KHOU	US	20479
wnd.com	WND News	US	20683
infowars.com	Infowars	US	20708
epochtimes.com	The Epoch Times	US	21184
ecowatch.com	EcoWatch	US	21339
jta.org	Jewish Telegraphic Agency	US	21350
bangordailynews.com	Bangor Daily News	US	21572
insideclimatenews.org	Inside Climate News	US	21997
thefederalist.com	Federalist	US	22214
madison.com	Wisconsin State Journal	US	22283
mcall.com	The Morning Call	US	22465
catholicnewsagency.com	EWTN News	US	22587
dailyvoice.com	The Daily Voice	US	22731
app.com	Asbury Park Press	US	23535
advance.lexis.com	Windows IT Pro	US	23807
richmond.com	Richmond Times-Dispatch	US	23845
jacksonville.com	Florida Times-Union	US	23901
knoxnews.com	Knoxville News Sentinel	US	23915
theblock.co	Block	US	24042
pilotonline.com	pilotonline.com	US	24303
11alive.com	11Alive News	US	24321
ncronline.org	National Catholic Reporter	US	24382
local10.com	WPLG Local 10 News	US	24561
restofworld.org	Rest of World	US	24633
kcrw.com	KCRW	US	24792
miaminewtimes.com	Miami New Times	US	24949
ny1.com	NY1	US	25106
abc15.com	ABC15 Arizona	US	25188
arkansasonline.com	Arkansas Democrat-Gazette	US	25259
omaha.com	Gretna Breeze	US	25378
eenews.net	E&E News	US	25402
campusgroups.erau.edu	The Avion	US	25425
chicagobusiness.com	Crain's Chicago Business	US	25586
sfexaminer.com	San Francisco Examiner	US	25601
taskandpurpose.com	Task & Purpose	US	25610
kentucky.com	Lexington Herald-Leader	US	25811
delawareonline.com	Delaware Online	US	26029
ctinsider.com	Cheshire Herald	US	26055
heraldtribune.com	Sarasota Herald-Tribune	US	26101
democratandchronicle.com	Democrat and Chronicle	US	26161
fox5atlanta.com	Fox 5 Atlanta	US	26301
freebeacon.com	Washington Free Beacon	US	26823
silive.com	Staten Island Advance	US	26874
tallahassee.com	Tallahassee Democrat	US	27016
religionnews.com	Religion News Service	US	27128
redstate.com	RedState	US	27159
lj3le7zk2e.search.serialssolutions.com	Q1587159	US	27235
yu7rz9hn8y.search.serialssolutions.com	The Appeal	US	27235
wc2vb5mt8e.search.serialssolutions.com	Missoula Independent	US	27235
zm3uh2fr3l.search.serialssolutions.com	Cecil Whig	US	27235
vh7qx3xe2p.search.serialssolutions.com	Nome Nugget	US	27235
my2vs8lv9p.search.serialssolutions.com	The Register-Guard	US	27235
bt2ha9xt3y.search.serialssolutions.com	The Garden Island	US	27235
dg4zn4jn3v.search.serialssolutions.com	Washington Jewish Week	US	27235
qn6sj3qc3h.search.serialssolutions.com	Weekly World News	US	27235
city-journal.org	City Journal	US	27282
elibrary.cf.ac.uk	Bangor Daily News	US	27290
theroot.com	Root	US	27503
newjersey.news12.com	News12NJ	US	27680
dailysignal.com	The Daily Signal	US	27704
amny.com	AM New York	US	27786
daytondailynews.com	Dayton Daily News	US	27791
ezproxy.aut.ac.nz	The Tombstone Epitaph	US	27976
austinchronicle.com	Austin Chronicle	US	28009
staradvertiser.com	Honolulu Star-Advertiser	US	28027
americanbanker.com	American Banker	US	28035
justsecurity.org	Just Security	US	28131
cpr.org	Colorado Public Radio	US	28272
gazette.com	The Gazette	US	28363
thestate.com	The State	US	28429
thestranger.com	The Stranger	US	28605
hotair.com	HotAir	US	28976
floridatoday.com	Florida Today	US	28991
expressnews.com	San Antonio Express-News	US	29088
eastbaytimes.com	East Bay Times	US	29124
clarionledger.com	Clarion Ledger	US	29305
tulsaworld.com	Tulsa World	US	29389
chicagoreader.com	Chicago Reader	US	29440
ctpost.com	Connecticut Post	US	29529
fox5ny.com	Fox 5 New York	US	29547
westword.com	Westword	US	29557
providencejournal.com	The Providence Journal	US	29733
wichita.edu	Studies in Medieval and Renaissance Teaching	US	29837
mcclatchydc.com	McClatchyDC	US	29993
sfstandard.com	The San Francisco Standard	US	30289
ejournal.abqjournal.com	Albuquerque Journal	US	30304
abqjournal.com	Albuquerque Journal	US	30304
washingtoncitypaper.com	Washington City Paper	US	30305
wttw.com	WTTW	US	30373
commercialappeal.com	Commercial Appeal	US	30432
kpbs.org	KPBS	US	30451
wickedlocal.com	Hudson Sun	US	30575
winchester.wickedlocal.com	Winchester Star	US	30575
brookline.wickedlocal.com	Brookline TAB	US	30575
chatham.wickedlocal.com	Wicked Local Chatham	US	30575
waltham.wickedlocal.com	Waltham News Tribune	US	30575
wayland.wickedlocal.com	Wayland Town Crier	US	30575
mansfield.wickedlocal.com	Journal-News Independent	US	30575
thenewstribune.com	The News Tribune	US	30686
phoenixnewtimes.com	New Times	US	30908
lohud.com	LoHud.com	US	31140
kcci.com	KCCI	US	31339
sportsbusinessjournal.com	Sports Business Journal	US	31372
heraldnet.com	The Everett Herald	US	31384
inthesetimes.com	In These Times 	US	31551
foxla.com	FOX 11 Los Angeles	US	31730
dallasobserver.com	Dallas Observer	US	32048
crainsnewyork.com	Crain's New York Business	US	32113
kansas.com	Wichita Eagle	US	32115
nbcconnecticut.com	NBC Connecticut	US	32423
elnuevodia.com	El Nuevo Día	US	32472
metrotimes.com	Metro Times	US	32537
minnpost.com	MinnPost	US	32556
ourmidland.com	Midland Daily News	US	32605
rgj.com	Reno Gazette-Journal	US	32632
coloradosun.com	Colorado Sun	US	32668
infoweb.newsbank.com	Q1587159	US	32682
thejewishadvocate.newsbank.com	The Jewish Advocate	US	32682
desertsun.com	The Desert Sun	US	32749
abovethelaw.com	Above the Law	US	32924
hcn.org	High Country News	US	32954
wweek.com	Willamette Week	US	33267
firstthings.com	First Things	US	33317
worldjournal.com	World Journal	US	33477
babylonbee.com	Babylon Bee	US	33521
armytimes.com	Army Times	US	33697
columbian.com	The Columbian	US	33915
kvue.com	KVUE	US	33920
fresnobee.com	Sierra Star	US	33998
toledoblade.com	The Blade	US	34210
wbtv.com	WBTV	US	34311
sfweekly.com	SF Weekly	US	34381
wbez.org	WBEZ	US	34418
idahostatesman.com	Idaho Statesman	US	34539
kcrg.com	KCRG	US	34756
dailypress.com	Daily Press	US	34773
naplesnews.com	Naples Daily News	US	34797
nysun.com	The New York Sun	US	34819
jns.org	Jerusalem News Syndicate	US	35069
westernjournal.com	The Western Journal	US	35132
publicintegrity.org	Center for Public Integrity	US	35171
thefp.com	Free Press	US	35279
laopinion.com	La Opinión	US	35480
dickinson.edu	The Dickinsonian	US	35504
khn.org	KFF Health News	US	35685
chalkbeat.org	Chalkbeat	US	35727
dailycamera.com	Daily Camera	US	35762
commons.trincoll.edu	The Trinity Tripod	US	35785
journalstar.com	Lincoln Journal Star	US	35798
thefader.com	The Fader	US	35845
studyfinds.org	Study Finds	US	35849
fair.org	Fairness and Accuracy in Reporting	US	35911
out.com	Q951591	US	36014
themarshallproject.org	Marshall Project	US	36071
morningbrew.com	Morning Brew	US	36091
news-journalonline.com	News-Journal	US	36109
abc27.com	WHTM-TV	US	36423
sandiegoreader.com	San Diego Reader	US	36484
wdrb.com	WDRB News	US	36590
pulitzercenter.org	Pulitzer Center	US	37249
kptv.com	Fox 12 Oregon	US	37394
houstonpress.com	Houston Press	US	37682
fox29.com	FOX29 Philly	US	37807
news-press.com	Fort Myers News-Press	US	38073
thegrio.com	Grio	US	38197
shawlocal.com	The Herald-News	US	38342
thegazette.com	Cedar Rapids Gazette	US	38507
lehighvalleylive.com	The Express-Times	US	38582
santafenewmexican.com	Santa Fe New Mexican	US	38618
nationaljournal.com	National Journal	US	39283
eurasianet.org	EurasiaNet	US	39495
justthenews.com	Just the News	US	39560
independent.com	Santa Barbara Independent	US	39661
billingsgazette.com	Billings Gazette	US	39872
electronicintifada.net	The Electronic Intifada	US	40002
hechingerreport.org	The Hechinger Report	US	40121
ljworld.com	Lawrence Journal-World	US	40129
www2.ljworld.com	Lawrence Journal-World	US	40129
thebulwark.com	Bulwark	US	40175
thedenverchannel.com	Denver7	US	40177
elpasotimes.com	El Paso Times	US	40267
